system:index,avg_annual_rainfall_mm,avg_apr_rainfall_mm,avg_aug_rainfall_mm,avg_dec_rainfall_mm,avg_feb_rainfall_mm,avg_jan_rainfall_mm,avg_jul_rainfall_mm,avg_jun_rainfall_mm,avg_mar_rainfall_mm,avg_may_rainfall_mm,avg_nov_rainfall_mm,avg_oct_rainfall_mm,avg_sep_rainfall_mm,lat,lon,max_daily_rainfall_mm,.geo
0,394.7671602159506,29.805098505814872,112.6558446203048,8.590208174396928,22.46051803082228,12.464411689837773,89.24193696975708,11.668988996744156,31.593616606791816,25.545705450326203,8.06446705283597,7.884496385316985,34.79186773300171,36.725167990500985,73.67533701021539,136.05463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.725167990500985]}"
1,419.7149444178811,29.308823784689107,124.43666891126583,8.150117149475651,21.473323586583138,12.325749013324579,105.0586991985639,12.294563339153926,31.511939961711565,25.028219579777215,7.92747414977445,7.510257605278639,34.689108138283096,36.725167990500985,73.72533723892948,153.19054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.725167990500985]}"
2,380.9379766161459,29.094830430050692,112.25179124884308,7.9954798395745454,20.641107803583147,12.144135832289855,81.98708181381225,9.783231728523969,32.48501672347387,24.676341192247733,7.863665424706414,7.664904682210423,34.350389896829924,36.725167990500985,73.77533746764358,127.662125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.725167990500985]}"
3,342.16454982280595,28.556919051706792,113.95216594673693,7.911120113776997,20.272572349508604,11.969568393131096,27.8305318514506,7.6349564280360935,32.75455340147018,32.5885551097017,7.6647538535995405,7.4181013381771965,43.61075198551019,36.725167990500985,73.82533769635766,139.4677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82533769635766,36.725167990500985]}"
4,408.9795888184914,30.45247884343068,111.15212022550404,8.837052385897065,22.797872465848922,12.63455494294564,105.71810672332843,19.554378674924372,33.34604280193647,25.636226664242955,8.378088266534421,7.6962862027531935,22.77638062114517,36.77516821921508,73.67533701021539,133.38779,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.77516821921508]}"
5,458.3791426699662,29.43252858519554,133.28514431000997,8.704614545435955,21.74772121111552,12.446674222747484,134.36358929375808,11.62257484785902,33.0068789879481,31.657445239011818,8.172678074745152,7.345614199462094,26.593679152677456,36.77516821921508,73.72533723892948,168.77824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.77516821921508]}"
6,411.43026379423316,29.751432437698046,117.75830505521347,8.233772799403717,21.194183286527792,12.440695686638355,105.82127296924591,9.144260001981941,34.27024667064349,31.667941575528435,7.755606820395527,7.09612332247613,26.296423168480395,36.77516821921508,73.77533746764358,134.81277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.77516821921508]}"
7,311.0364195693564,29.23320140490929,105.97628860094895,8.082605033259219,20.722313813865185,12.220415442685287,26.19204596678416,7.7053216010952985,33.992762951056164,25.129658130400156,7.955029563241017,7.097571513341791,26.729205547769865,36.77516821921508,73.82533769635766,132.47046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82533769635766,36.77516821921508]}"
8,415.04890780929287,30.329979243377846,111.67505598729477,9.209752833028324,23.02021615902583,13.409006197750568,110.72252838611602,19.441294410824774,33.81727569500605,25.43051726021416,8.482586296026906,7.696416309619114,21.814279031008482,36.82516844792917,73.67533701021539,125.408966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.82516844792917]}"
9,460.99262224370375,29.83956614981095,134.19184726141393,8.728660906370107,21.971517876784006,12.488523576408625,136.2714006225268,11.189315691512698,33.62354220847289,31.562465093665136,8.29466402066561,7.388694378304414,25.4424244577686,36.82516844792917,73.72533723892948,149.20538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.82516844792917]}"
10,409.27631156913685,29.70989669462045,118.71001677860816,8.629911430909608,21.21463410506646,12.369853648543359,103.98451377550761,8.876274022723859,34.23189486662547,31.292298316332744,8.062721404184897,7.161163371651795,25.03313315436244,36.82516844792917,73.77533746764358,131.58174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.82516844792917]}"
11,450.00998887669215,54.399237580100696,72.05500845204418,22.572642735997213,54.188514812787375,32.88051844338576,66.38709928592046,23.130994602913656,64.71163477301597,26.60683684984688,16.392418821152145,8.990243379748426,7.6948391397794085,36.52516707564462,71.92532900522215,147.5984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92532900522215,36.52516707564462]}"
12,422.2917463079791,53.52586506903172,53.08844637554139,22.942242884015045,53.149105679988864,33.51157366931439,58.68655110994975,19.73951747852067,63.90755618611971,26.52289477925903,14.96608238586535,8.936162819197246,13.315747871175912,36.52516707564462,71.97532923393625,129.23978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.97532923393625,36.52516707564462]}"
13,437.53595929452985,54.713367813825606,48.183578009344636,24.514701524811485,56.84977484146754,37.479231580595176,62.92816013197104,19.910659604643783,67.79224024017653,27.118534812897753,16.388036899835182,8.261584426526678,13.396089408434454,36.52516707564462,72.02532946265033,64.40164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.02532946265033,36.52516707564462]}"
14,440.6228628861051,54.33114126125972,41.74973482141892,24.27873221660654,55.07658772567908,36.17521508336067,74.5395670781533,22.63552692880233,66.75828143159548,27.36887044586862,15.803319601838787,8.895044606578692,13.010841684942942,36.52516707564462,72.07532969136443,195.48743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.07532969136443,36.52516707564462]}"
15,374.8297869317984,54.20248012542724,22.818350381217897,23.903306512907147,53.701556624968845,36.22501080880563,20.73293926914533,9.857867408792178,65.50129245320956,27.790069250079494,15.772154843628718,11.349723234407914,32.97503601920847,36.52516707564462,72.12532992007853,46.79474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.12532992007853,36.52516707564462]}"
16,371.1401185089137,53.763614267110825,21.860581009027857,23.77858560102371,51.86316578189532,34.79303983350595,22.33135959506035,9.825302901801964,64.9431421260039,27.944051142145568,15.556854669221988,11.41384626783741,33.06657531427888,36.52516707564462,72.17533014879261,48.59783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.17533014879261,36.52516707564462]}"
17,368.50773235180833,53.075987895329796,14.611187825817614,23.22469394849613,50.31883526841799,33.24915096263091,23.56634070475896,9.743864934767286,64.03662430445353,27.937946442700923,16.188387193119464,11.816631308357076,40.73808156295866,36.52516707564462,72.22533037750671,63.891624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.22533037750671,36.52516707564462]}"
18,342.74089636303574,52.06518564919631,7.484484547225819,23.00657371652002,50.25399759411812,31.68738177071015,16.435166581471762,11.273564604048927,63.397673052549365,28.21414238619618,15.997549639890591,11.344368110655827,31.580808710452644,36.52516707564462,72.2753306062208,50.672157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.2753306062208,36.52516707564462]}"
19,338.8350066698137,52.016362965106964,7.339007293432951,22.073242793263248,48.5000829299291,31.019211266438166,16.88355751832326,11.2067413850377,62.98745136360328,28.50410815019471,15.53670640621179,11.225836055995508,31.54269854227702,36.52516707564462,72.32533083493489,51.193153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.32533083493489,36.52516707564462]}"
20,359.3261581200204,56.08656558593114,5.439018412306905,21.104682418804927,47.23578992287318,30.905748883386455,36.267642092704776,15.68327439079682,71.41307475169499,32.85602374156006,15.874659633807218,9.260407266854115,17.199271019299825,36.52516707564462,72.37533106364899,34.16177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.37533106364899,36.52516707564462]}"
21,328.43580253288695,57.372050202886264,0.022520370377848545,20.1719522460131,46.528586594263714,29.450490787625313,17.46814209620158,15.53371501515309,73.01671454906463,28.98275394452115,17.599033570933777,9.665657988779518,12.62418516706698,36.52516707564462,72.42533129236308,29.712107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.42533129236308,36.52516707564462]}"
22,327.49401735617704,57.33653018971284,0.023062196342895427,19.77486312898497,45.46254852215449,29.333572570979594,17.347327184677123,15.704677148660023,72.86692428390185,29.310359100950883,17.700946340772013,9.722774544771529,12.910432144268809,36.52516707564462,72.47533152107717,29.595089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47533152107717,36.52516707564462]}"
