system:index,analysis_area_km2,buffer_radius_m,built_percent_5km2,lat,lon,pervious_percent_5km2,recharge_recommended,.geo
0,5,1262,0.0,36.725167990500985,73.67533701021539,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.725167990500985]}"
1,5,1262,0.0,36.725167990500985,73.72533723892948,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.725167990500985]}"
2,5,1262,0.0,36.725167990500985,73.77533746764358,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.725167990500985]}"
3,5,1262,0.0,36.725167990500985,73.82533769635766,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82533769635766,36.725167990500985]}"
4,5,1262,0.0,36.77516821921508,73.67533701021539,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.77516821921508]}"
5,5,1262,0.0,36.77516821921508,73.72533723892948,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.77516821921508]}"
6,5,1262,0.0,36.77516821921508,73.77533746764358,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.77516821921508]}"
7,5,1262,0.0,36.77516821921508,73.82533769635766,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82533769635766,36.77516821921508]}"
8,5,1262,0.0,36.82516844792917,73.67533701021539,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67533701021539,36.82516844792917]}"
9,5,1262,0.0,36.82516844792917,73.72533723892948,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72533723892948,36.82516844792917]}"
10,5,1262,0.0,36.82516844792917,73.77533746764358,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77533746764358,36.82516844792917]}"
11,5,1262,0.0,23.8751092109792,67.5753091070961,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.5753091070961,23.8751092109792]}"
12,5,1262,0.0,24.075110125835568,67.525308878382,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.525308878382,24.075110125835568]}"
